Z,Elemento,Simbolo,Massa Atômica,Densidade,PontoFusaoK,PontoEbulicaoK,Período,Grupo,Bloco,EstadoFisico,Raio Atômico (A),Eletronegatividade,NumIsotoposEstaveis,Energia_Ionização (eV)
1,Hidrogênio,H,1.008,0.000082,13.99,20.271,1,1,s,Gás,1.10,2.20,2,13.598
2,Hélio,He,4.003,0.000164,0.95,4.222,1,18,s,Gás,1.400,,2,24.587
3,Lítio,Li,6.94,0.534,453.65,1615,2,1,s,Sólido,1.82,0.98,2,5.392
4,Berílio,Be,9.012,1.85,1560,2741,2,2,s,Sólido,1.53,1.57,1,9.323
5,Boro,B,10.81,2.34,2350,4273,2,13,p,Sólido,1.92,2.04,2,8.298
6,Carbono,C,12.011,2.2,3825,3825,2,14,p,Sólido,1.70,2.55,2,11.260
7,Nitrogênio,N,14.007,0.001145,63.2,77.355,2,15,p,Gás,1.55,3.04,2,14.534
8,Oxigênio,O,15.999,0.001308,54.36,90.188,2,16,p,Gás,1.52,3.44,3,13.618
9,Flúor,F,18.998,0.001553,53.48,85.04,2,17,p,Gás,1.47,3.98,1,14.423
10,Neônio,Ne,20.180,0.000825,24.56,27.104,2,18,p,Gás,1.54,,3,21.565
11,Sódio,Na,22.990,0.97,370.944,1156.090,3,1,s,Sólido,2.27,0.93,1,5.139
12,Magnésio,Mg,24.305,1.74,923,1363,3,2,s,Sólido,1.73,1.31,3,7.646
13,Alumínio,Al,26.982,2.70,933.473,2792,3,13,p,Sólido,1.84,1.61,1,5.986
14,Silício,Si,28.085,2.3296,1687,3538,3,14,p,Sólido,2.10,1.90,3,8.152
15,Fósforo,P,30.974,1.823,317.3,553.7,3,15,p,Sólido,1.80,2.19,1,10.487
16,Enxofre,S,32.06,2.07,388.36,717.76,3,16,p,Sólido,1.80,2.58,4,10.360
17,Cloro,Cl,35.45,0.002898,171.7,239.11,3,17,p,Gás,1.75,3.16,2,12.968
18,Argônio,Ar,39.95,0.001633,83.81,87.302,3,18,p,Gás,1.88,,3,15.760
19,Potássio,K,39.098,0.89,336.7,1032,4,1,s,Sólido,2.75,0.82,2,4.341
20,Cálcio,Ca,40.078,1.54,1115,1757,4,2,s,Sólido,2.31,1.00,3,6.113
21,Escândio,Sc,44.956,2.99,1814,3109,4,3,d,Sólido,2.15,1.36,1,6.561
22,Titânio,Ti,47.867,4.506,1943,3560,4,4,d,Sólido,2.11,1.54,5,6.828
23,Vanádio,V,50.942,6.0,2183,3680,4,5,d,Sólido,2.07,1.63,1,6.746
24,Cromo,Cr,51.996,7.15,2180,2944,4,6,d,Sólido,2.06,1.66,3,6.767
25,Manganês,Mn,54.938,7.3,1519,2334,4,7,d,Sólido,2.05,1.55,1,7.434
26,Ferro,Fe,55.845,7.87,1811,3134,4,8,d,Sólido,2.04,1.83,4,7.902
27,Cobalto,Co,58.933,8.86,1768,3200,4,9,d,Sólido,2.00,1.88,1,7.881
28,Níquel,Ni,58.693,8.90,1728,3186,4,10,d,Sólido,1.97,1.91,5,7.640
29,Cobre,Cu,63.546,8.96,1357.77,2833,4,11,d,Sólido,1.96,1.90,2,7.726
30,Zinco,Zn,65.38,7.134,692.677,1180,4,12,d,Sólido,2.01,1.65,3,9.394
31,Gálio,Ga,69.723,5.91,302.9146,2502,4,13,p,Sólido,1.87,1.81,2,5.999
32,Germânio,Ge,72.630,5.3234,1211.4,3106,4,14,p,Sólido,2.11,2.01,5,7.900
